word,in_doc,TF,IDF,TF.IDF
a,gatech.txt,0.030303030303030304,1.6,0.04848484848484849
access,gatech.txt,0.0,4.0,0.0
achievement,gatech.txt,0.0,8.0,0.0
addition,gatech.txt,0.0,8.0,0.0
advance,gatech.txt,0.030303030303030304,4.0,0.12121212121212122
all,gatech.txt,0.0,8.0,0.0
alumni,gatech.txt,0.0,8.0,0.0
an,gatech.txt,0.0,4.0,0.0
and,gatech.txt,0.06060606060606061,1.0,0.06060606060606061
are,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
arts,gatech.txt,0.0,8.0,0.0
as,gatech.txt,0.0,8.0,0.0
aspiring,gatech.txt,0.0,8.0,0.0
atmosphere,gatech.txt,0.0,8.0,0.0
backgrounds,gatech.txt,0.0,8.0,0.0
by,gatech.txt,0.0,4.0,0.0
carry,gatech.txt,0.0,8.0,0.0
citizen,gatech.txt,0.0,8.0,0.0
citizens,gatech.txt,0.0,4.0,0.0
civic,gatech.txt,0.0,8.0,0.0
class,gatech.txt,0.0,8.0,0.0
college,gatech.txt,0.0,4.0,0.0
commitment,gatech.txt,0.0,8.0,0.0
committed,gatech.txt,0.0,4.0,0.0
communities,gatech.txt,0.0,8.0,0.0
community,gatech.txt,0.0,4.0,0.0
condition,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
continues,gatech.txt,0.0,8.0,0.0
contributions,gatech.txt,0.0,8.0,0.0
cultivates,gatech.txt,0.0,8.0,0.0
culture,gatech.txt,0.0,8.0,0.0
develop,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
discoveries,gatech.txt,0.0,8.0,0.0
diverse,gatech.txt,0.0,4.0,0.0
do,gatech.txt,0.0,8.0,0.0
dynamic,gatech.txt,0.0,8.0,0.0
educate,gatech.txt,0.0,8.0,0.0
educates,gatech.txt,0.0,8.0,0.0
education,gatech.txt,0.0,2.0,0.0
educational,gatech.txt,0.0,8.0,0.0
encourages,gatech.txt,0.0,8.0,0.0
engage,gatech.txt,0.0,8.0,0.0
engagement,gatech.txt,0.0,8.0,0.0
engages,gatech.txt,0.0,8.0,0.0
ensure,gatech.txt,0.0,8.0,0.0
ethical,gatech.txt,0.0,8.0,0.0
everywhere,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
excellence,gatech.txt,0.0,2.6666666666666665,0.0
exchange,gatech.txt,0.0,8.0,0.0
experiential,gatech.txt,0.0,8.0,0.0
extending,gatech.txt,0.0,8.0,0.0
faculty,gatech.txt,0.0,8.0,0.0
financial,gatech.txt,0.0,8.0,0.0
flexible,gatech.txt,0.0,8.0,0.0
focused,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
for,gatech.txt,0.0,2.0,0.0
fosters,gatech.txt,0.0,8.0,0.0
free,gatech.txt,0.0,8.0,0.0
from,gatech.txt,0.0,8.0,0.0
future,gatech.txt,0.0,8.0,0.0
generate,gatech.txt,0.0,8.0,0.0
generations,gatech.txt,0.0,8.0,0.0
georgia,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
global,gatech.txt,0.0,8.0,0.0
globally,gatech.txt,0.0,8.0,0.0
goals,gatech.txt,0.0,8.0,0.0
grant,gatech.txt,0.0,8.0,0.0
growth,gatech.txt,0.0,8.0,0.0
harvard,gatech.txt,0.0,8.0,0.0
health,gatech.txt,0.0,8.0,0.0
human,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
ideas,gatech.txt,0.0,8.0,0.0
impact,gatech.txt,0.030303030303030304,4.0,0.12121212121212122
improve,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
improving,gatech.txt,0.0,8.0,0.0
in,gatech.txt,0.030303030303030304,1.6,0.04848484848484849
inclusion,gatech.txt,0.0,8.0,0.0
inclusive,gatech.txt,0.0,8.0,0.0
innovation,gatech.txt,0.0,8.0,0.0
innovations,gatech.txt,0.0,8.0,0.0
inspire,gatech.txt,0.0,8.0,0.0
institution,gatech.txt,0.0,4.0,0.0
intellectual,gatech.txt,0.0,8.0,0.0
interdependent,gatech.txt,0.0,8.0,0.0
is,gatech.txt,0.030303030303030304,1.6,0.04848484848484849
its,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
knowledge,gatech.txt,0.0,8.0,0.0
land,gatech.txt,0.0,8.0,0.0
leaders,gatech.txt,0.030303030303030304,2.0,0.06060606060606061
leading,gatech.txt,0.0,8.0,0.0
learning,gatech.txt,0.0,8.0,0.0
liberal,gatech.txt,0.0,8.0,0.0
life,gatech.txt,0.0,8.0,0.0
lives,gatech.txt,0.030303030303030304,4.0,0.12121212121212122
local,gatech.txt,0.0,8.0,0.0
locally,gatech.txt,0.0,8.0,0.0
long,gatech.txt,0.0,8.0,0.0
making,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
mission,gatech.txt,0.06060606060606061,2.6666666666666665,0.1616161616161616
nationally,gatech.txt,0.0,8.0,0.0
new,gatech.txt,0.0,8.0,0.0
of,gatech.txt,0.030303030303030304,1.6,0.04848484848484849
on,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
opportunities,gatech.txt,0.0,8.0,0.0
our,gatech.txt,0.0,4.0,0.0
out,gatech.txt,0.0,8.0,0.0
outstanding,gatech.txt,0.0,8.0,0.0
oxford’s,gatech.txt,0.0,8.0,0.0
people,gatech.txt,0.030303030303030304,4.0,0.12121212121212122
personal,gatech.txt,0.0,8.0,0.0
physical,gatech.txt,0.0,8.0,0.0
plan,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
positive,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
power,gatech.txt,0.0,8.0,0.0
practice,gatech.txt,0.0,8.0,0.0
premier,gatech.txt,0.0,8.0,0.0
preparing,gatech.txt,0.0,8.0,0.0
preservation,gatech.txt,0.0,8.0,0.0
professional,gatech.txt,0.0,8.0,0.0
promote,gatech.txt,0.0,8.0,0.0
quality,gatech.txt,0.0,8.0,0.0
research,gatech.txt,0.0,4.0,0.0
resources,gatech.txt,0.0,4.0,0.0
responsibility,gatech.txt,0.0,8.0,0.0
responsible,gatech.txt,0.0,8.0,0.0
scholarship,gatech.txt,0.0,8.0,0.0
sciences,gatech.txt,0.0,8.0,0.0
sectors,gatech.txt,0.0,8.0,0.0
serve,gatech.txt,0.0,8.0,0.0
share,gatech.txt,0.0,8.0,0.0
snow,gatech.txt,0.0,8.0,0.0
society,gatech.txt,0.0,4.0,0.0
southern,gatech.txt,0.0,8.0,0.0
space,gatech.txt,0.0,8.0,0.0
staff,gatech.txt,0.0,8.0,0.0
state,gatech.txt,0.0,8.0,0.0
stewardship,gatech.txt,0.0,8.0,0.0
strategic,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
student,gatech.txt,0.0,8.0,0.0
students,gatech.txt,0.0,2.0,0.0
study,gatech.txt,0.0,8.0,0.0
success,gatech.txt,0.0,8.0,0.0
teaching,gatech.txt,0.0,4.0,0.0
technology,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
tech’s,gatech.txt,0.030303030303030304,8.0,0.24242424242424243
term,gatech.txt,0.0,8.0,0.0
that,gatech.txt,0.0,8.0,0.0
the,gatech.txt,0.06060606060606061,1.6,0.09696969696969698
their,gatech.txt,0.0,8.0,0.0
these,gatech.txt,0.0,8.0,0.0
this,gatech.txt,0.0,4.0,0.0
through,gatech.txt,0.0,2.6666666666666665,0.0
to,gatech.txt,0.030303030303030304,1.0,0.030303030303030304
today,gatech.txt,0.0,8.0,0.0
tradition,gatech.txt,0.0,8.0,0.0
transformative,gatech.txt,0.0,8.0,0.0
university,gatech.txt,0.0,2.6666666666666665,0.0
utah,gatech.txt,0.0,2.6666666666666665,0.0
viability,gatech.txt,0.0,8.0,0.0
we,gatech.txt,0.0,2.0,0.0
who,gatech.txt,0.030303030303030304,4.0,0.12121212121212122
world,gatech.txt,0.0,4.0,0.0
worldwide,gatech.txt,0.0,8.0,0.0
yale,gatech.txt,0.0,8.0,0.0
a,harvard.txt,0.030303030303030304,1.6,0.04848484848484849
access,harvard.txt,0.0,4.0,0.0
achievement,harvard.txt,0.0,8.0,0.0
addition,harvard.txt,0.0,8.0,0.0
advance,harvard.txt,0.0,4.0,0.0
all,harvard.txt,0.0,8.0,0.0
alumni,harvard.txt,0.0,8.0,0.0
an,harvard.txt,0.0,4.0,0.0
and,harvard.txt,0.06060606060606061,1.0,0.06060606060606061
are,harvard.txt,0.0,8.0,0.0
arts,harvard.txt,0.030303030303030304,8.0,0.24242424242424243
as,harvard.txt,0.0,8.0,0.0
aspiring,harvard.txt,0.0,8.0,0.0
atmosphere,harvard.txt,0.0,8.0,0.0
backgrounds,harvard.txt,0.0,8.0,0.0
by,harvard.txt,0.0,4.0,0.0
carry,harvard.txt,0.0,8.0,0.0
citizen,harvard.txt,0.030303030303030304,8.0,0.24242424242424243
citizens,harvard.txt,0.030303030303030304,4.0,0.12121212121212122
civic,harvard.txt,0.0,8.0,0.0
class,harvard.txt,0.0,8.0,0.0
college,harvard.txt,0.030303030303030304,4.0,0.12121212121212122
commitment,harvard.txt,0.030303030303030304,8.0,0.24242424242424243
committed,harvard.txt,0.0,4.0,0.0
communities,harvard.txt,0.0,8.0,0.0
community,harvard.txt,0.0,4.0,0.0
condition,harvard.txt,0.0,8.0,0.0
continues,harvard.txt,0.0,8.0,0.0
contributions,harvard.txt,0.0,8.0,0.0
cultivates,harvard.txt,0.0,8.0,0.0
culture,harvard.txt,0.0,8.0,0.0
develop,harvard.txt,0.0,8.0,0.0
discoveries,harvard.txt,0.0,8.0,0.0
diverse,harvard.txt,0.0,4.0,0.0
do,harvard.txt,0.030303030303030304,8.0,0.24242424242424243
dynamic,harvard.txt,0.0,8.0,0.0
educate,harvard.txt,0.030303030303030304,8.0,0.24242424242424243
educates,harvard.txt,0.0,8.0,0.0
education,harvard.txt,0.030303030303030304,2.0,0.06060606060606061
educational,harvard.txt,0.0,8.0,0.0
encourages,harvard.txt,0.0,8.0,0.0
engage,harvard.txt,0.0,8.0,0.0
engagement,harvard.txt,0.0,8.0,0.0
engages,harvard.txt,0.0,8.0,0.0
ensure,harvard.txt,0.0,8.0,0.0
ethical,harvard.txt,0.0,8.0,0.0
everywhere,harvard.txt,0.0,8.0,0.0
excellence,harvard.txt,0.0,2.6666666666666665,0.0
exchange,harvard.txt,0.0,8.0,0.0
experiential,harvard.txt,0.0,8.0,0.0
extending,harvard.txt,0.0,8.0,0.0
faculty,harvard.txt,0.0,8.0,0.0
financial,harvard.txt,0.0,8.0,0.0
flexible,harvard.txt,0.0,8.0,0.0
focused,harvard.txt,0.0,8.0,0.0
for,harvard.txt,0.030303030303030304,2.0,0.06060606060606061
fosters,harvard.txt,0.0,8.0,0.0
free,harvard.txt,0.0,8.0,0.0
from,harvard.txt,0.0,8.0,0.0
future,harvard.txt,0.0,8.0,0.0
generate,harvard.txt,0.0,8.0,0.0
generations,harvard.txt,0.0,8.0,0.0
georgia,harvard.txt,0.0,8.0,0.0
global,harvard.txt,0.0,8.0,0.0
globally,harvard.txt,0.0,8.0,0.0
goals,harvard.txt,0.0,8.0,0.0
grant,harvard.txt,0.0,8.0,0.0
growth,harvard.txt,0.0,8.0,0.0
harvard,harvard.txt,0.030303030303030304,8.0,0.24242424242424243
health,harvard.txt,0.0,8.0,0.0
human,harvard.txt,0.0,8.0,0.0
ideas,harvard.txt,0.0,8.0,0.0
impact,harvard.txt,0.0,4.0,0.0
improve,harvard.txt,0.0,8.0,0.0
improving,harvard.txt,0.0,8.0,0.0
in,harvard.txt,0.0,1.6,0.0
inclusion,harvard.txt,0.0,8.0,0.0
inclusive,harvard.txt,0.0,8.0,0.0
innovation,harvard.txt,0.0,8.0,0.0
innovations,harvard.txt,0.0,8.0,0.0
inspire,harvard.txt,0.0,8.0,0.0
institution,harvard.txt,0.0,4.0,0.0
intellectual,harvard.txt,0.0,8.0,0.0
interdependent,harvard.txt,0.0,8.0,0.0
is,harvard.txt,0.030303030303030304,1.6,0.04848484848484849
its,harvard.txt,0.0,8.0,0.0
knowledge,harvard.txt,0.0,8.0,0.0
land,harvard.txt,0.0,8.0,0.0
leaders,harvard.txt,0.030303030303030304,2.0,0.06060606060606061
leading,harvard.txt,0.0,8.0,0.0
learning,harvard.txt,0.0,8.0,0.0
liberal,harvard.txt,0.030303030303030304,8.0,0.24242424242424243
life,harvard.txt,0.0,8.0,0.0
lives,harvard.txt,0.0,4.0,0.0
local,harvard.txt,0.0,8.0,0.0
locally,harvard.txt,0.0,8.0,0.0
long,harvard.txt,0.0,8.0,0.0
making,harvard.txt,0.0,8.0,0.0
mission,harvard.txt,0.030303030303030304,2.6666666666666665,0.0808080808080808
nationally,harvard.txt,0.0,8.0,0.0
new,harvard.txt,0.0,8.0,0.0
of,harvard.txt,0.06060606060606061,1.6,0.09696969696969698
on,harvard.txt,0.0,8.0,0.0
opportunities,harvard.txt,0.0,8.0,0.0
our,harvard.txt,0.06060606060606061,4.0,0.24242424242424243
out,harvard.txt,0.0,8.0,0.0
outstanding,harvard.txt,0.0,8.0,0.0
oxford’s,harvard.txt,0.0,8.0,0.0
people,harvard.txt,0.0,4.0,0.0
personal,harvard.txt,0.0,8.0,0.0
physical,harvard.txt,0.0,8.0,0.0
plan,harvard.txt,0.0,8.0,0.0
positive,harvard.txt,0.0,8.0,0.0
power,harvard.txt,0.030303030303030304,8.0,0.24242424242424243
practice,harvard.txt,0.0,8.0,0.0
premier,harvard.txt,0.0,8.0,0.0
preparing,harvard.txt,0.0,8.0,0.0
preservation,harvard.txt,0.0,8.0,0.0
professional,harvard.txt,0.0,8.0,0.0
promote,harvard.txt,0.0,8.0,0.0
quality,harvard.txt,0.0,8.0,0.0
research,harvard.txt,0.0,4.0,0.0
resources,harvard.txt,0.0,4.0,0.0
responsibility,harvard.txt,0.0,8.0,0.0
responsible,harvard.txt,0.0,8.0,0.0
scholarship,harvard.txt,0.0,8.0,0.0
sciences,harvard.txt,0.030303030303030304,8.0,0.24242424242424243
sectors,harvard.txt,0.0,8.0,0.0
serve,harvard.txt,0.0,8.0,0.0
share,harvard.txt,0.0,8.0,0.0
snow,harvard.txt,0.0,8.0,0.0
society,harvard.txt,0.030303030303030304,4.0,0.12121212121212122
southern,harvard.txt,0.0,8.0,0.0
space,harvard.txt,0.0,8.0,0.0
staff,harvard.txt,0.0,8.0,0.0
state,harvard.txt,0.0,8.0,0.0
stewardship,harvard.txt,0.0,8.0,0.0
strategic,harvard.txt,0.0,8.0,0.0
student,harvard.txt,0.0,8.0,0.0
students,harvard.txt,0.0,2.0,0.0
study,harvard.txt,0.0,8.0,0.0
success,harvard.txt,0.0,8.0,0.0
teaching,harvard.txt,0.0,4.0,0.0
technology,harvard.txt,0.0,8.0,0.0
tech’s,harvard.txt,0.0,8.0,0.0
term,harvard.txt,0.0,8.0,0.0
that,harvard.txt,0.0,8.0,0.0
the,harvard.txt,0.09090909090909091,1.6,0.14545454545454548
their,harvard.txt,0.0,8.0,0.0
these,harvard.txt,0.0,8.0,0.0
this,harvard.txt,0.030303030303030304,4.0,0.12121212121212122
through,harvard.txt,0.030303030303030304,2.6666666666666665,0.0808080808080808
to,harvard.txt,0.06060606060606061,1.0,0.06060606060606061
today,harvard.txt,0.0,8.0,0.0
tradition,harvard.txt,0.0,8.0,0.0
transformative,harvard.txt,0.030303030303030304,8.0,0.24242424242424243
university,harvard.txt,0.0,2.6666666666666665,0.0
utah,harvard.txt,0.0,2.6666666666666665,0.0
viability,harvard.txt,0.0,8.0,0.0
we,harvard.txt,0.030303030303030304,2.0,0.06060606060606061
who,harvard.txt,0.0,4.0,0.0
world,harvard.txt,0.0,4.0,0.0
worldwide,harvard.txt,0.0,8.0,0.0
yale,harvard.txt,0.0,8.0,0.0
a,oxford.txt,0.0,1.6,0.0
access,oxford.txt,0.038461538461538464,4.0,0.15384615384615385
achievement,oxford.txt,0.0,8.0,0.0
addition,oxford.txt,0.0,8.0,0.0
advance,oxford.txt,0.0,4.0,0.0
all,oxford.txt,0.0,8.0,0.0
alumni,oxford.txt,0.0,8.0,0.0
an,oxford.txt,0.0,4.0,0.0
and,oxford.txt,0.15384615384615385,1.0,0.15384615384615385
are,oxford.txt,0.0,8.0,0.0
arts,oxford.txt,0.0,8.0,0.0
as,oxford.txt,0.0,8.0,0.0
aspiring,oxford.txt,0.0,8.0,0.0
atmosphere,oxford.txt,0.0,8.0,0.0
backgrounds,oxford.txt,0.0,8.0,0.0
by,oxford.txt,0.038461538461538464,4.0,0.15384615384615385
carry,oxford.txt,0.0,8.0,0.0
citizen,oxford.txt,0.0,8.0,0.0
citizens,oxford.txt,0.0,4.0,0.0
civic,oxford.txt,0.0,8.0,0.0
class,oxford.txt,0.038461538461538464,8.0,0.3076923076923077
college,oxford.txt,0.0,4.0,0.0
commitment,oxford.txt,0.0,8.0,0.0
committed,oxford.txt,0.0,4.0,0.0
communities,oxford.txt,0.0,8.0,0.0
community,oxford.txt,0.0,4.0,0.0
condition,oxford.txt,0.0,8.0,0.0
continues,oxford.txt,0.0,8.0,0.0
contributions,oxford.txt,0.0,8.0,0.0
cultivates,oxford.txt,0.0,8.0,0.0
culture,oxford.txt,0.0,8.0,0.0
develop,oxford.txt,0.0,8.0,0.0
discoveries,oxford.txt,0.0,8.0,0.0
diverse,oxford.txt,0.0,4.0,0.0
do,oxford.txt,0.0,8.0,0.0
dynamic,oxford.txt,0.0,8.0,0.0
educate,oxford.txt,0.0,8.0,0.0
educates,oxford.txt,0.0,8.0,0.0
education,oxford.txt,0.0,2.0,0.0
educational,oxford.txt,0.0,8.0,0.0
encourages,oxford.txt,0.0,8.0,0.0
engage,oxford.txt,0.0,8.0,0.0
engagement,oxford.txt,0.0,8.0,0.0
engages,oxford.txt,0.0,8.0,0.0
ensure,oxford.txt,0.0,8.0,0.0
ethical,oxford.txt,0.0,8.0,0.0
everywhere,oxford.txt,0.0,8.0,0.0
excellence,oxford.txt,0.0,2.6666666666666665,0.0
exchange,oxford.txt,0.0,8.0,0.0
experiential,oxford.txt,0.0,8.0,0.0
extending,oxford.txt,0.038461538461538464,8.0,0.3076923076923077
faculty,oxford.txt,0.0,8.0,0.0
financial,oxford.txt,0.0,8.0,0.0
flexible,oxford.txt,0.038461538461538464,8.0,0.3076923076923077
focused,oxford.txt,0.0,8.0,0.0
for,oxford.txt,0.038461538461538464,2.0,0.07692307692307693
fosters,oxford.txt,0.0,8.0,0.0
free,oxford.txt,0.0,8.0,0.0
from,oxford.txt,0.0,8.0,0.0
future,oxford.txt,0.0,8.0,0.0
generate,oxford.txt,0.0,8.0,0.0
generations,oxford.txt,0.0,8.0,0.0
georgia,oxford.txt,0.0,8.0,0.0
global,oxford.txt,0.0,8.0,0.0
globally,oxford.txt,0.038461538461538464,8.0,0.3076923076923077
goals,oxford.txt,0.0,8.0,0.0
grant,oxford.txt,0.0,8.0,0.0
growth,oxford.txt,0.0,8.0,0.0
harvard,oxford.txt,0.0,8.0,0.0
health,oxford.txt,0.0,8.0,0.0
human,oxford.txt,0.0,8.0,0.0
ideas,oxford.txt,0.0,8.0,0.0
impact,oxford.txt,0.0,4.0,0.0
improve,oxford.txt,0.0,8.0,0.0
improving,oxford.txt,0.0,8.0,0.0
in,oxford.txt,0.0,1.6,0.0
inclusion,oxford.txt,0.0,8.0,0.0
inclusive,oxford.txt,0.038461538461538464,8.0,0.3076923076923077
innovation,oxford.txt,0.0,8.0,0.0
innovations,oxford.txt,0.0,8.0,0.0
inspire,oxford.txt,0.038461538461538464,8.0,0.3076923076923077
institution,oxford.txt,0.0,4.0,0.0
intellectual,oxford.txt,0.0,8.0,0.0
interdependent,oxford.txt,0.0,8.0,0.0
is,oxford.txt,0.0,1.6,0.0
its,oxford.txt,0.0,8.0,0.0
knowledge,oxford.txt,0.0,8.0,0.0
land,oxford.txt,0.0,8.0,0.0
leaders,oxford.txt,0.0,2.0,0.0
leading,oxford.txt,0.0,8.0,0.0
learning,oxford.txt,0.0,8.0,0.0
liberal,oxford.txt,0.0,8.0,0.0
